id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2024-198106,2024-05-31,1,Vente,65000.00,135,A,"RUE JEAN BAFFIER",2980,18000,18033,Bourges,18,,,18033000CH0835,,,10,29.82,,,,,,,,,1,2,Appartement,31.00,2,,,,,,2.4102360,47.0742650,000CH
2024-198106,2024-05-31,1,Vente,65000.00,135,A,"RUE JEAN BAFFIER",2980,18000,18033,Bourges,18,,,18033000CH0835,,,6,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4102360,47.0742650,000CH
2024-198106,2024-05-31,1,Vente,65000.00,135,A,"RUE JEAN BAFFIER",2980,18000,18033,Bourges,18,,,18033000CH0835,,,2,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4102360,47.0742650,000CH
2024-198107,2024-04-26,1,Vente,60000.00,8,,"RUE DU COIN HASLAY",1400,18000,18033,Bourges,18,,,18033000IK0497,,,78,39.75,,,,,,,,,1,2,Appartement,40.00,2,,,,,,2.4006180,47.0782360,000IK
2024-198107,2024-04-26,1,Vente,60000.00,8,,"RUE DU COIN HASLAY",1400,18000,18033,Bourges,18,,,18033000IK0497,,,51,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4006180,47.0782360,000IK
2024-198114,2024-05-31,1,Vente,150000.00,107,,"AV MARCEL SEMBAT",3720,18000,18033,Bourges,18,,,18033000CI0067,,,,,,,,,,,,,0,1,Maison,63.00,4,S,sols,,,288.00,2.4211550,47.0782490,000CI
2024-198118,2024-06-03,1,Vente,700.00,,,"MARAIS DES MARIENS",B154,18000,18033,Bourges,18,,,18033000BR0170,,,,,,,,,,,,,0,,,,,J,jardins,,,386.00,2.4068720,47.0897490,000BR
2024-198128,2024-06-04,1,Vente,130000.00,2,,"PL DES QUATRE PILIERS",5060,18000,18033,Bourges,18,,,18033000IO0442,,,,,,,,,,,,,0,4,"Local industriel. commercial ou assimilé",113.00,0,S,sols,,,163.00,2.3944730,47.0833830,000IO
2024-198132,2024-05-22,1,Vente,320000.00,35,,"RUE JEAN JACQUES ROUSSEAU",3060,18000,18033,Bourges,18,,,18033000DY0040,,,55,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3883450,47.0778560,000DY
2024-198132,2024-05-22,1,Vente,320000.00,35,,"RUE JEAN JACQUES ROUSSEAU",3060,18000,18033,Bourges,18,,,18033000DY0040,,,137,114.85,,,,,,,,,1,2,Appartement,136.00,4,,,,,,2.3883450,47.0778560,000DY
2024-198132,2024-05-22,1,Vente,320000.00,35,,"RUE JEAN JACQUES ROUSSEAU",3060,18000,18033,Bourges,18,,,18033000DY0040,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3883450,47.0778560,000DY
2024-198132,2024-05-22,1,Vente,320000.00,35,,"RUE JEAN JACQUES ROUSSEAU",3060,18000,18033,Bourges,18,,,18033000DY0040,,,68,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3883450,47.0778560,000DY
